,abbrev,state,stateid,State,ICEsignature,administratorsignature,fips,sigdate,impdate,byelectionday,had_senelection2004,had_senelection2002,had_govelection2002,had_govelection2004,had_senelection2010,had_senelection2006,had_senelection2008,had_govelection2010,had_govelection2006,had_govelection2007,had_govelection2008,constreat,X.1996,countvar.1996,latinocitizenturnout.1996,X.1998,countvar.1998,latinocitizenturnout.1998,X.2000,countvar.2000,latinocitizenturnout.2000,X.2002,countvar.2002,latinocitizenturnout.2002,X.2004,countvar.2004,latinocitizenturnout.2004,X.2006,countvar.2006,latinocitizenturnout.2006,statetreat
39,RI,Rhode Island,5,RI,01/13/11,01/10/2011,44,10/01/2011,22/03/2011,0,0,1,1,0,0,1,1,1,1,0,0,0,235,61,0.6923077,236,62,0.3,237,60,0.5555556,238,221,0.7027027,239,209,0.6923077,240,275,0.7358491,0
40,SC,South Carolina,48,SC,08/22/10,08/06/2010,45,06/08/2010,08/09/2010,1,1,1,1,0,1,0,1,1,1,0,0,0,241,10,1,242,16,0.3333333,243,33,0.4,244,46,0.5,245,29,0.8571429,246,74,0.375,0
41,SD,South Dakota,37,SD,06/15/10,06/09/2010,46,09/06/2010,17/04/2012,0,1,1,1,0,1,0,1,1,1,0,0,0,247,13,0.5,248,13,0.5,249,15,0.4285714,250,39,0.5,251,41,0.75,252,53,0.4545455,0
42,TN,Tennessee,54,TN,02/22/10,02/17/10,47,17/02/2010,10/01/2012,0,0,1,1,0,0,1,1,1,1,0,0,0,253,12,0.2,254,11,0,255,34,0.6,256,77,0.2857143,257,72,0.25,258,73,0.25,0
43,TX,Texas,49,TX,10/26/09,10/14/09,48,14/10/2009,24/06/2009,1,0,1,1,0,0,1,1,1,1,0,0,0,259,1749,0.4844237,260,1846,0.2741433,261,2051,0.4928479,262,2189,0.3789174,263,2503,0.5452409,264,2524,0.3372365,1
44,UT,Utah,67,UT,02/22/10,02/16/10,49,16/02/2010,27/07/2010,1,1,0,0,1,1,1,0,1,0,0,1,0,265,113,0.5263158,266,113,0.3636364,267,125,0.5714286,268,186,0.2307692,269,158,0.6774194,270,207,0.5,0
45,VA,Virginia,40,VA,10/13/09,09/25/09,51,25/09/2009,01/04/2010,1,0,1,0,0,0,1,1,0,0,0,0,0,271,39,0.5833333,272,39,0,273,94,0.8,274,100,0.25,275,172,0.6944444,276,211,0.52,1
46,VT,Vermont,6,NA,NA,NA,NA,NA,22/05/2012,0,1,0,1,1,1,1,0,1,1,0,1,0,277,7,0.8,278,8,0.3333333,279,8,1,280,13,0.6666667,281,22,0.6666667,282,16,1,0
47,WA,Washington,73,NA,NA,NA,NA,NA,03/04/2012,0,1,0,0,1,1,1,0,0,0,0,1,0,283,65,0.4782609,284,72,0.3636364,285,68,0.7,286,153,0.3714286,287,173,0.4864865,288,195,0.4285714,0
48,WI,Wisconsin,25,WI,10/20/10,10/18/10,55,18/10/2010,11/01/2011,0,1,0,1,0,1,1,0,1,1,0,0,0,289,46,0.5833333,290,12,0.6666667,291,71,0.4285714,292,147,0.2727273,293,168,0.8648649,294,124,0.5666667,0
49,WV,West Virginia,56,WV,02/25/10,02/23/10,54,23/02/2010,26/10/2010,1,0,1,0,1,1,1,1,0,0,0,1,1,295,2,1,296,5,0.3333333,297,9,0.3333333,298,11,0.5,299,4,0.25,300,7,0,1
50,WY,Wyoming,68,WY,04/30/10,04/22/10,56,22/04/2010,15/05/2012,0,0,1,1,0,0,1,1,1,1,0,0,0,301,74,0.4090909,302,64,0.46875,303,83,0.5,304,93,0.4339623,305,115,0.6666667,306,142,0.3918919,0
