"","state","abbrev","county","State","stateid","GEOid2","GEOid","constreat"
"33","Alabama","AL","Tuscaloosa","AL",41,1125,"0500000US01125",0
"34","Alabama","AL","Tallapoosa","AL",41,1123,"0500000US01123",0
"35","Alabama","","Wilcox","AL",41,1131,"0500000US01131",0
"36","Alabama","AL","Clay","AL",41,1027,"0500000US01027",0
"37","Alabama","AL","Colbert","AL",41,1033,"0500000US01033",0
"38","Alabama","AL","Conecuh","AL",41,1035,"0500000US01035",0
"39","Alabama","","Pike","AL",41,1109,"0500000US01109",0
"40","Alabama","","Randolph","AL",41,1111,"0500000US01111",0
"41","Alabama","","Russell","AL",41,1113,"0500000US01113",0
"42","Alabama","","Houston","AL",41,1069,"0500000US01069",0
"43","Alabama","AL","Jackson","AL",41,1071,"0500000US01071",0
"44","Alabama","AL","Jefferson","AL",41,1073,"0500000US01073",0
"45","Alabama","AL","Lamar","AL",41,1075,"0500000US01075",0
"46","Alabama","AL","Cherokee","AL",41,1019,"0500000US01019",0
"47","Alabama","AL","Chilton","AL",41,1021,"0500000US01021",0
"48","Alabama","AL","Choctaw","AL",41,1023,"0500000US01023",0
"49","Alabama","","Clarke","AL",41,1025,"0500000US01025",0
"50","Alabama","","Cleburne","AL",41,1029,"0500000US01029",0
"51","Alabama","AL","Limestone","AL",41,1083,"0500000US01083",0
"52","Alabama","","Lowndes","AL",41,1085,"0500000US01085",0
"53","Alabama","","Bullock","AL",41,1011,"0500000US01011",0
"54","Alabama","","Butler","AL",41,1013,"0500000US01013",0
"55","Alabama","","Madison","AL",41,1089,"0500000US01089",0
"56","Alabama","AL","Marengo","AL",41,1091,"0500000US01091",0
"57","Alabama","AL","Calhoun","AL",41,1015,"0500000US01015",0
"58","Alabama","","Chambers","AL",41,1017,"0500000US01017",0
"59","Alabama","AL","Marshall","AL",41,1095,"0500000US01095",0
"60","Alabama","AL","Mobile","AL",41,1097,"0500000US01097",0
"61","Alabama","AL","Monroe","AL",41,1099,"0500000US01099",0
"62","Alabama","","Montgomery","AL",41,1101,"0500000US01101",0
"63","Alabama","AL","Morgan","AL",41,1103,"0500000US01103",0
"64","Alabama","AL","Perry","AL",41,1105,"0500000US01105",0
"65","Alabama","","Pickens","AL",41,1107,"0500000US01107",0
"66","Alabama","","Macon","AL",41,1087,"0500000US01087",0
"67","Alabama","AL","Marion","AL",41,1093,"0500000US01093",0
"68","Alaska","AK","Aleutians East Borough",NA,81,2013,"0500000US02013",0
"69","Alaska","AK","Aleutians West Census Area",NA,81,2016,"0500000US02016",0
"70","Alaska","AK","Anchorage Municipality",NA,81,2020,"0500000US02020",0
"71","Alaska","AK","Bethel Census Area",NA,81,2050,"0500000US02050",0
"72","Alaska","AK","Bristol Bay Borough",NA,81,2060,"0500000US02060",0
"73","Alaska","AK","Denali Borough",NA,81,2068,"0500000US02068",0
"74","Alaska","AK","Dillingham Census Area",NA,81,2070,"0500000US02070",0
"75","Alaska","AK","Fairbanks North Star Borough",NA,81,2090,"0500000US02090",0
"76","Alaska","AK","Haines Borough",NA,81,2100,"0500000US02100",0
"77","Alaska","AK","Juneau City and Borough",NA,81,2110,"0500000US02110",0
"78","Alaska","AK","Kenai Peninsula Borough",NA,81,2122,"0500000US02122",0
"79","Alaska","AK","Ketchikan Gateway Borough",NA,81,2130,"0500000US02130",0
"80","Alaska","AK","Kodiak Island Borough",NA,81,2150,"0500000US02150",0
"81","Alaska","AK","Lake and Peninsula Borough",NA,81,2164,"0500000US02164",0
"82","Alaska","AK","Matanuska-Susitna Borough",NA,81,2170,"0500000US02170",0
"83","Alaska","AK","Nome Census Area",NA,81,2180,"0500000US02180",0
"84","Alaska","AK","North Slope Borough",NA,81,2185,"0500000US02185",0
"85","Alaska","AK","Northwest Arctic Borough",NA,81,2188,"0500000US02188",0
"86","Alaska","AK","Petersburg Census Area",NA,81,2195,"0500000US02195",0
"87","Alaska","AK","Prince of Wales-Hyder Census Area",NA,81,2198,"0500000US02198",0
"88","Alaska","AK","Sitka City and Borough",NA,81,2220,"0500000US02220",0
"89","Alaska","AK","Skagway-Hoonah-Angoon Census Area",NA,81,2105,"0500000US02105",0
"90","Alaska","AK","Southeast Fairbanks Census Area",NA,81,2240,"0500000US02240",0
"91","Alaska","AK","Valdez-Cordova Census Area",NA,81,2261,"0500000US02261",0
"92","Alaska","AK","Wade Hampton Census Area",NA,81,2270,"0500000US02270",0
"93","Alaska","AK","Wrangell City and Borough",NA,81,2275,"0500000US02275",0
"94","Alaska","AK","Yakutat City and Borough",NA,81,2282,"0500000US02282",0
"95","Alaska","AK","Yukon-Koyukuk Census Area",NA,81,2290,"0500000US02290",0
"96","Arizona","AZ","Gila","AZ",61,4007,"0500000US04007",0
"97","Arizona","AZ","La Paz","AZ",61,4012,"0500000US04012",0
"98","Arizona","AZ","Maricopa","AZ",61,4013,"0500000US04013",0
"99","Arizona","AZ","Mohave","AZ",61,4015,"0500000US04015",0
"100","Arizona","AZ","Pima","AZ",61,4019,"0500000US04019",0
"101","Arizona","AZ","Santa Cruz","AZ",61,4023,"0500000US04023",0
"102","Arizona","AZ","Pinal","AZ",61,4021,"0500000US04021",0
"103","Arizona","AZ","Yuma","AZ",61,4027,"0500000US04027",0
"104","Arizona","AZ","Graham","AZ",61,4009,"0500000US04009",0
"105","Arizona","AZ","Greenlee","AZ",61,4011,"0500000US04011",0
"106","Arizona","AZ","Coconino","AZ",61,4005,"0500000US04005",0
"107","Arizona","AZ","Apache","AZ",61,4001,"0500000US04001",0
"108","Arizona","AZ","Navajo","AZ",61,4017,"0500000US04017",0
"109","Arizona","AZ","Cochise","AZ",61,4003,"0500000US04003",0
"110","Arizona","AZ","Yavapai","AZ",61,4025,"0500000US04025",0
"111","Arkansas","AR","Cleburne",NA,42,5023,"0500000US05023",0
"112","Arkansas","AR","Cleveland",NA,42,5025,"0500000US05025",0
"113","Arkansas","AR","Columbia",NA,42,5027,"0500000US05027",0
"114","Arkansas","AR","Conway",NA,42,5029,"0500000US05029",0
"115","Arkansas","AR","Craighead",NA,42,5031,"0500000US05031",0
"116","Arkansas","AR","Crawford",NA,42,5033,"0500000US05033",0
"117","Arkansas","AR","Crittenden",NA,42,5035,"0500000US05035",0
"118","Arkansas","AR","Cross",NA,42,5037,"0500000US05037",0
"119","Arkansas","AR","Dallas",NA,42,5039,"0500000US05039",0
"120","Arkansas","AR","Desha",NA,42,5041,"0500000US05041",0
"121","Arkansas","AR","Drew",NA,42,5043,"0500000US05043",0
"122","Arkansas","AR","Faulkner",NA,42,5045,"0500000US05045",0
"123","Arkansas","AR","Franklin",NA,42,5047,"0500000US05047",0
"124","Arkansas","AR","Fulton",NA,42,5049,"0500000US05049",0
"125","Arkansas","AR","Garland",NA,42,5051,"0500000US05051",0
"126","Arkansas","AR","Grant",NA,42,5053,"0500000US05053",0
"127","Arkansas","AR","Greene",NA,42,5055,"0500000US05055",0
"128","Arkansas","AR","Hempstead",NA,42,5057,"0500000US05057",0
"129","Arkansas","AR","Hot Spring",NA,42,5059,"0500000US05059",0
"130","Arkansas","AR","Howard",NA,42,5061,"0500000US05061",0
"131","Arkansas","AR","Independence",NA,42,5063,"0500000US05063",0
"132","Arkansas","AR","Izard",NA,42,5065,"0500000US05065",0
"133","Arkansas","AR","Jackson",NA,42,5067,"0500000US05067",0
"134","Arkansas","AR","Jefferson",NA,42,5069,"0500000US05069",0
"135","Arkansas","AR","Johnson",NA,42,5071,"0500000US05071",0
"136","Arkansas","AR","Lafayette",NA,42,5073,"0500000US05073",0
"137","Arkansas","AR","Lawrence",NA,42,5075,"0500000US05075",0
"138","Arkansas","AR","Arkansas",NA,42,5001,"0500000US05001",0
"139","Arkansas","AR","Ashley",NA,42,5003,"0500000US05003",0
"140","Arkansas","AR","Baxter",NA,42,5005,"0500000US05005",0
"141","Arkansas","AR","Benton",NA,42,5007,"0500000US05007",0
"142","Arkansas","AR","Boone",NA,42,5009,"0500000US05009",0
"143","Arkansas","AR","Bradley",NA,42,5011,"0500000US05011",0
"144","Arkansas","AR","Calhoun",NA,42,5013,"0500000US05013",0
"145","Arkansas","AR","Carroll",NA,42,5015,"0500000US05015",0
"146","Arkansas","AR","Chicot",NA,42,5017,"0500000US05017",0
"147","Arkansas","AR","Clark",NA,42,5019,"0500000US05019",0
"148","Arkansas","AR","Clay",NA,42,5021,"0500000US05021",0
"149","Arkansas","AR","Lee",NA,42,5077,"0500000US05077",0
"150","Arkansas","AR","Lincoln",NA,42,5079,"0500000US05079",0
"151","Arkansas","AR","Little River",NA,42,5081,"0500000US05081",0
"152","Arkansas","AR","Logan",NA,42,5083,"0500000US05083",0
"153","Arkansas","AR","Lonoke",NA,42,5085,"0500000US05085",0
"154","Arkansas","AR","Madison",NA,42,5087,"0500000US05087",0
"155","Arkansas","AR","Marion",NA,42,5089,"0500000US05089",0
"156","Arkansas","AR","Miller",NA,42,5091,"0500000US05091",0
"157","Arkansas","AR","Mississippi",NA,42,5093,"0500000US05093",0
"158","Arkansas","AR","Monroe",NA,42,5095,"0500000US05095",0
"159","Arkansas","AR","Montgomery",NA,42,5097,"0500000US05097",0
"160","Arkansas","AR","Nevada",NA,42,5099,"0500000US05099",0
"161","Arkansas","AR","Newton",NA,42,5101,"0500000US05101",0
"162","Arkansas","AR","Ouachita",NA,42,5103,"0500000US05103",0
"163","Arkansas","AR","Perry",NA,42,5105,"0500000US05105",0
"164","Arkansas","AR","Phillips",NA,42,5107,"0500000US05107",0
"165","Arkansas","AR","Pike",NA,42,5109,"0500000US05109",0
"166","Arkansas","AR","Poinsett",NA,42,5111,"0500000US05111",0
"167","Arkansas","AR","Polk",NA,42,5113,"0500000US05113",0
"168","Arkansas","AR","Pope",NA,42,5115,"0500000US05115",0
"169","Arkansas","AR","Prairie",NA,42,5117,"0500000US05117",0
"170","Arkansas","AR","Pulaski",NA,42,5119,"0500000US05119",0
"171","Arkansas","AR","Randolph",NA,42,5121,"0500000US05121",0
"172","Arkansas","AR","Saline",NA,42,5125,"0500000US05125",0
"173","Arkansas","AR","Scott",NA,42,5127,"0500000US05127",0
"174","Arkansas","AR","Searcy",NA,42,5129,"0500000US05129",0
"175","Arkansas","AR","Sebastian",NA,42,5131,"0500000US05131",0
"176","Arkansas","AR","Sevier",NA,42,5133,"0500000US05133",0
"177","Arkansas","AR","Sharp",NA,42,5135,"0500000US05135",0
"178","Arkansas","AR","St. Francis",NA,42,5123,"0500000US05123",0
"179","Arkansas","AR","Stone",NA,42,5137,"0500000US05137",0
"180","Arkansas","AR","Union",NA,42,5139,"0500000US05139",0
"181","Arkansas","AR","Van Buren",NA,42,5141,"0500000US05141",0
"182","Arkansas","AR","Washington",NA,42,5143,"0500000US05143",0
"183","Arkansas","AR","White",NA,42,5145,"0500000US05145",0
"184","Arkansas","AR","Woodruff",NA,42,5147,"0500000US05147",0
"185","Arkansas","AR","Yell",NA,42,5149,"0500000US05149",0
"186","California","CA","Siskiyou","CA",71,6093,"0500000US06093",0
"187","California","CA","Tehama","CA",71,6103,"0500000US06103",0
"188","California","CA","Sierra","CA",71,6091,"0500000US06091",0
"189","California","CA","Sutter","CA",71,6101,"0500000US06101",0
"190","California","CA","Yuba","CA",71,6115,"0500000US06115",0
"191","California","CA","Shasta","CA",71,6089,"0500000US06089",0
"192","California","CA","Ventura","CA",71,6111,"0500000US06111",0
"193","California","CA","Yolo","CA",71,6113,"0500000US06113",0
"194","California","CA","Calaveras","CA",71,6009,"0500000US06009",0
"195","California","CA","Solano","CA",71,6095,"0500000US06095",0
"196","California","CA","Lake","CA",71,6033,"0500000US06033",0
"197","California","CA","Butte","CA",71,6007,"0500000US06007",0
"198","California","CA","San Diego","CA",71,6073,"0500000US06073",0
"199","California","CA","San Francisco","CA",71,6075,"0500000US06075",0
"200","California","CA","Trinity","CA",71,6105,"0500000US06105",0
"201","California","CA","Tulare","CA",71,6107,"0500000US06107",0
"202","California","CA","Tuolumne","CA",71,6109,"0500000US06109",0
"203","California","CA","Santa Clara","CA",71,6085,"0500000US06085",0
"204","California","CA","Kings","CA",71,6031,"0500000US06031",0
"205","California","CA","Santa Cruz","CA",71,6087,"0500000US06087",0
"206","California","CA","Plumas","CA",71,6063,"0500000US06063",0
"207","California","CA","Lassen","CA",71,6035,"0500000US06035",0
"208","California","CA","Colusa","CA",71,6011,"0500000US06011",0
"209","California","CA","Sonoma","CA",71,6097,"0500000US06097",0
"210","California","CA","Stanislaus","CA",71,6099,"0500000US06099",0
"211","California","CA","El Dorado","CA",71,6017,"0500000US06017",0
"212","California","CA","Fresno","CA",71,6019,"0500000US06019",0
"213","California","CA","San Joaquin","CA",71,6077,"0500000US06077",0
"214","California","CA","San Luis Obispo","CA",71,6079,"0500000US06079",0
"215","California","CA","San Mateo","CA",71,6081,"0500000US06081",0
"216","California","CA","Kern","CA",71,6029,"0500000US06029",0
"217","California","CA","Alameda","CA",71,6001,"0500000US06001",0
"218","California","CA","Placer","CA",71,6061,"0500000US06061",0
"219","California","CA","Alpine","CA",71,6003,"0500000US06003",0
"220","California","CA","Riverside","CA",71,6065,"0500000US06065",0
"221","California","CA","Los Angeles","CA",71,6037,"0500000US06037",0
"222","California","CA","Contra Costa","CA",71,6013,"0500000US06013",0
"223","California","CA","Del Norte","CA",71,6015,"0500000US06015",0
"224","California","CA","San Bernardino","CA",71,6071,"0500000US06071",0
"225","California","CA","Marin","CA",71,6041,"0500000US06041",0
"226","California","CA","Glenn","CA",71,6021,"0500000US06021",0
"227","California","CA","Humboldt","CA",71,6023,"0500000US06023",0
"228","California","CA","Imperial","CA",71,6025,"0500000US06025",0
"229","California","CA","Inyo","CA",71,6027,"0500000US06027",0
"230","California","CA","Santa Barbara","CA",71,6083,"0500000US06083",0
"231","California","CA","Mono","CA",71,6051,"0500000US06051",0
"232","California","CA","Nevada","CA",71,6057,"0500000US06057",0
"233","California","CA","Amador","CA",71,6005,"0500000US06005",0
"234","California","CA","San Benito","CA",71,6069,"0500000US06069",0
"235","California","CA","Modoc","CA",71,6049,"0500000US06049",0
"236","California","CA","Mariposa","CA",71,6043,"0500000US06043",0
"237","California","CA","Madera","CA",71,6039,"0500000US06039",0
"238","California","CA","Merced","CA",71,6047,"0500000US06047",0
"239","California","CA","Napa","CA",71,6055,"0500000US06055",0
"240","California","CA","Mendocino","CA",71,6045,"0500000US06045",0
"241","California","CA","Orange","CA",71,6059,"0500000US06059",0
"242","California","CA","Monterey","CA",71,6053,"0500000US06053",0
"243","California","CA","Sacramento","CA",71,6067,"0500000US06067",0
"244","Colorado","CO","Jackson","CO",62,8057,"0500000US08057",0
"245","Colorado","CO","Huerfano","CO",62,8055,"0500000US08055",0
"246","Colorado","CO","Logan","CO",62,8075,"0500000US08075",0
"247","Colorado","CO","El Paso","CO",62,8041,"0500000US08041",0
"248","Colorado","CO","Alamosa","CO",62,8003,"0500000US08003",0
"249","Colorado","CO","Arapahoe","CO",62,8005,"0500000US08005",0
"250","Colorado","CO","Hinsdale","CO",62,8053,"0500000US08053",0
"251","Colorado","CO","Adams","CO",62,8001,"0500000US08001",0
"252","Colorado","CO","Kit Carson","CO",62,8063,"0500000US08063",0
"253","Colorado","CO","Elbert","CO",62,8039,"0500000US08039",0
"254","Colorado","CO","Fremont","CO",62,8043,"0500000US08043",0
"255","Colorado","CO","Eagle","CO",62,8037,"0500000US08037",0
"256","Colorado","CO","Lincoln","CO",62,8073,"0500000US08073",0
"257","Colorado","CO","Grand","CO",62,8049,"0500000US08049",0
"258","Colorado","CO","Mesa","CO",62,8077,"0500000US08077",0
"259","Colorado","CO","Garfield","CO",62,8045,"0500000US08045",0
"260","Colorado","CO","Costilla","CO",62,8023,"0500000US08023",0
"261","Colorado","CO","Crowley","CO",62,8025,"0500000US08025",0
"262","Colorado","CO","Custer","CO",62,8027,"0500000US08027",0
"263","Colorado","CO","Jefferson","CO",62,8059,"0500000US08059",0
"264","Colorado","CO","Kiowa","CO",62,8061,"0500000US08061",0
"265","Colorado","CO","Dolores","CO",62,8033,"0500000US08033",0
"266","Colorado","CO","La Plata","CO",62,8067,"0500000US08067",0
"267","Colorado","CO","Lake","CO",62,8065,"0500000US08065",0
"268","Colorado","CO","Larimer","CO",62,8069,"0500000US08069",0
"269","Colorado","CO","Las Animas","CO",62,8071,"0500000US08071",0
"270","Colorado","CO","Gilpin","CO",62,8047,"0500000US08047",0
"271","Colorado","CO","Weld","CO",62,8123,"0500000US08123",0
"272","Colorado","CO","Yuma","CO",62,8125,"0500000US08125",0
"273","Colorado","CO","Gunnison","CO",62,8051,"0500000US08051",0
"274","Colorado","CO","Conejos","CO",62,8021,"0500000US08021",0
"275","Colorado","CO","Mineral","CO",62,8079,"0500000US08079",0
"276","Colorado","CO","Moffat","CO",62,8081,"0500000US08081",0
"277","Colorado","CO","Archuleta","CO",62,8007,"0500000US08007",0
"278","Colorado","CO","Baca","CO",62,8009,"0500000US08009",0
"279","Colorado","CO","Douglas","CO",62,8035,"0500000US08035",0
"280","Colorado","CO","Sedgwick","CO",62,8115,"0500000US08115",0
"281","Colorado","CO","Summit","CO",62,8117,"0500000US08117",0
"282","Colorado","CO","Teller","CO",62,8119,"0500000US08119",0
"283","Colorado","CO","Boulder","CO",62,8013,"0500000US08013",0
"284","Colorado","CO","Broomfield","CO",62,8014,"0500000US08014",0
"285","Colorado","CO","Chaffee","CO",62,8015,"0500000US08015",0
"286","Colorado","CO","Clear Creek","CO",62,8019,"0500000US08019",0
"287","Colorado","CO","Pueblo","CO",62,8101,"0500000US08101",0
"288","Colorado","CO","Rio Blanco","CO",62,8103,"0500000US08103",0
"289","Colorado","CO","Rio Grande","CO",62,8105,"0500000US08105",0
"290","Colorado","CO","Delta","CO",62,8029,"0500000US08029",0
"291","Colorado","CO","Denver","CO",62,8031,"0500000US08031",0
"292","Colorado","CO","San Juan","CO",62,8111,"0500000US08111",0
"293","Colorado","CO","San Miguel","CO",62,8113,"0500000US08113",0
"294","Colorado","CO","Otero","CO",62,8089,"0500000US08089",0
"295","Colorado","CO","Bent","CO",62,8011,"0500000US08011",0
"296","Colorado","CO","Ouray","CO",62,8091,"0500000US08091",0
"297","Colorado","CO","Park","CO",62,8093,"0500000US08093",0
"298","Colorado","CO","Phillips","CO",62,8095,"0500000US08095",0
"299","Colorado","CO","Washington","CO",62,8121,"0500000US08121",0
"300","Colorado","CO","Prowers","CO",62,8099,"0500000US08099",0
"301","Colorado","CO","Montrose","CO",62,8085,"0500000US08085",0
"302","Colorado","CO","Morgan","CO",62,8087,"0500000US08087",0
"303","Colorado","CO","Montezuma","CO",62,8083,"0500000US08083",0
"304","Colorado","CO","Routt","CO",62,8107,"0500000US08107",0
"305","Colorado","CO","Saguache","CO",62,8109,"0500000US08109",0
"306","Colorado","CO","Cheyenne","CO",62,8017,"0500000US08017",0
"307","Colorado","CO","Pitkin","CO",62,8097,"0500000US08097",0
"308","Connecticut","CT","New London","CT",1,9011,"0500000US09011",0
"309","Connecticut","CT","Windham","CT",1,9015,"0500000US09015",0
"310","Connecticut","CT","New Haven","CT",1,9009,"0500000US09009",0
"311","Connecticut","CT","Middlesex","CT",1,9007,"0500000US09007",0
"312","Connecticut","CT","Hartford","CT",1,9003,"0500000US09003",0
"313","Connecticut","CT","Litchfield","CT",1,9005,"0500000US09005",0
"314","Connecticut","CT","Fairfield","CT",1,9001,"0500000US09001",0
"315","Connecticut","CT","Tolland","CT",1,9013,"0500000US09013",0
"316","Delaware","DE","New Castle","DE",11,10003,"0500000US10003",1
"317","Delaware","DE","Sussex","DE",11,10005,"0500000US10005",1
"318","Delaware","DE","Kent","DE",11,10001,"0500000US10001",1
"319","Florida","FL","Leon","FL",43,12073,"0500000US12073",0
"320","Florida","FL","Okeechobee","FL",43,12093,"0500000US12093",1
"321","Florida","FL","Highlands","FL",43,12055,"0500000US12055",0
"322","Florida","FL","Nassau","FL",43,12089,"0500000US12089",1
"323","Florida","FL","Lee","FL",43,12071,"0500000US12071",1
"324","Florida","FL","Bay","FL",43,12005,"0500000US12005",1
"325","Florida","FL","Hillsborough","FL",43,12057,"0500000US12057",0
"326","Florida","FL","Okaloosa","FL",43,12091,"0500000US12091",1
"327","Florida","FL","Monroe","FL",43,12087,"0500000US12087",0
"328","Florida","FL","Orange","FL",43,12095,"0500000US12095",0
"329","Florida","FL","Osceola","FL",43,12097,"0500000US12097",0
"330","Florida","FL","Miami-Dade","FL",43,12086,"0500000US12086",0
"331","Florida","FL","Gilchrist","FL",43,12041,"0500000US12041",1
"332","Florida","FL","Madison","FL",43,12079,"0500000US12079",1
"333","Florida","FL","Manatee","FL",43,12081,"0500000US12081",0
"334","Florida","FL","Marion","FL",43,12083,"0500000US12083",0
"335","Florida","FL","Holmes","FL",43,12059,"0500000US12059",1
"336","Florida","FL","Indian River","FL",43,12061,"0500000US12061",1
"337","Florida","FL","Jackson","FL",43,12063,"0500000US12063",1
"338","Florida","FL","Bradford","FL",43,12007,"0500000US12007",1
"339","Florida","FL","Brevard","FL",43,12009,"0500000US12009",0
"340","Florida","FL","Lafayette","FL",43,12067,"0500000US12067",1
"341","Florida","FL","Glades","FL",43,12043,"0500000US12043",1
"342","Florida","FL","Gulf","FL",43,12045,"0500000US12045",1
"343","Florida","FL","Levy","FL",43,12075,"0500000US12075",1
"344","Florida","FL","Liberty","FL",43,12077,"0500000US12077",1
"345","Florida","FL","Hendry","FL",43,12051,"0500000US12051",1
"346","Florida","FL","Hernando","FL",43,12053,"0500000US12053",1
"347","Florida","FL","Washington","FL",43,12133,"0500000US12133",1
"348","Florida","FL","Martin","FL",43,12085,"0500000US12085",1
"349","Florida","FL","Alachua","FL",43,12001,"0500000US12001",1
"350","Florida","FL","Baker","FL",43,12003,"0500000US12003",1
"351","Florida","FL","Santa Rosa","FL",43,12113,"0500000US12113",1
"352","Florida","FL","Jefferson","FL",43,12065,"0500000US12065",1
"353","Florida","FL","Franklin","FL",43,12037,"0500000US12037",1
"354","Florida","FL","Lake","FL",43,12069,"0500000US12069",0
"355","Florida","FL","Broward","FL",43,12011,"0500000US12011",0
"356","Florida","FL","Calhoun","FL",43,12013,"0500000US12013",1
"357","Florida","FL","Palm Beach","FL",43,12099,"0500000US12099",0
"358","Florida","FL","Pasco","FL",43,12101,"0500000US12101",1
"359","Florida","FL","Pinellas","FL",43,12103,"0500000US12103",0
"360","Florida","FL","Polk","FL",43,12105,"0500000US12105",0
"361","Florida","FL","Clay","FL",43,12019,"0500000US12019",0
"362","Florida","FL","Collier","FL",43,12021,"0500000US12021",0
"363","Florida","FL","Putnam","FL",43,12107,"0500000US12107",1
"364","Florida","FL","Columbia","FL",43,12023,"0500000US12023",1
"365","Florida","FL","Sarasota","FL",43,12115,"0500000US12115",0
"366","Florida","FL","Seminole","FL",43,12117,"0500000US12117",1
"367","Florida","FL","Gadsden","FL",43,12039,"0500000US12039",1
"368","Florida","FL","Suwannee","FL",43,12121,"0500000US12121",1
"369","Florida","FL","Taylor","FL",43,12123,"0500000US12123",1
"370","Florida","FL","Union","FL",43,12125,"0500000US12125",1
"371","Florida","FL","Volusia","FL",43,12127,"0500000US12127",0
"372","Florida","FL","Wakulla","FL",43,12129,"0500000US12129",1
"373","Florida","FL","Walton","FL",43,12131,"0500000US12131",1
"374","Florida","FL","DeSoto","FL",43,12027,"0500000US12027",1
"375","Florida","FL","Dixie","FL",43,12029,"0500000US12029",1
"376","Florida","FL","St. Johns","FL",43,12109,"0500000US12109",0
"377","Florida","FL","St. Lucie","FL",43,12111,"0500000US12111",0
"378","Florida","FL","Sumter","FL",43,12119,"0500000US12119",1
"379","Florida","FL","Flagler","FL",43,12035,"0500000US12035",1
"380","Florida","FL","Charlotte","FL",43,12015,"0500000US12015",0
"381","Florida","FL","Citrus","FL",43,12017,"0500000US12017",1
"382","Florida","FL","Hardee","FL",43,12049,"0500000US12049",1
"383","Florida","FL","Duval","FL",43,12031,"0500000US12031",0
"384","Florida","FL","Escambia","FL",43,12033,"0500000US12033",0
"385","Florida","FL","Hamilton","FL",43,12047,"0500000US12047",1
"386","Georgia","GA","Baker","GA",44,13007,"0500000US13007",0
"387","Georgia","GA","Tattnall","GA",44,13267,"0500000US13267",0
"388","Georgia","GA","Bacon","GA",44,13005,"0500000US13005",0
"389","Georgia","GA","Thomas","GA",44,13275,"0500000US13275",0
"390","Georgia","GA","Meriwether","GA",44,13199,"0500000US13199",0
"391","Georgia","GA","Taliaferro","GA",44,13265,"0500000US13265",0
"392","Georgia","GA","Mitchell","GA",44,13205,"0500000US13205",0
"393","Georgia","GA","Tift","GA",44,13277,"0500000US13277",0
"394","Georgia","GA","Atkinson","GA",44,13003,"0500000US13003",0
"395","Georgia","GA","Terrell","GA",44,13273,"0500000US13273",0
"396","Georgia","GA","Lee","GA",44,13177,"0500000US13177",0
"397","Georgia","GA","Liberty","GA",44,13179,"0500000US13179",0
"398","Georgia","GA","Baldwin","GA",44,13009,"0500000US13009",0
"399","Georgia","GA","Miller","GA",44,13201,"0500000US13201",0
"400","Georgia","GA","Appling","GA",44,13001,"0500000US13001",0
"401","Georgia","GA","Rockdale","GA",44,13247,"0500000US13247",0
"402","Georgia","GA","Schley","GA",44,13249,"0500000US13249",0
"403","Georgia","GA","Toombs","GA",44,13279,"0500000US13279",0
"404","Georgia","GA","Towns","GA",44,13281,"0500000US13281",0
"405","Georgia","GA","Treutlen","GA",44,13283,"0500000US13283",0
"406","Georgia","GA","Troup","GA",44,13285,"0500000US13285",0
"407","Georgia","GA","Sumter","GA",44,13261,"0500000US13261",0
"408","Georgia","GA","Talbot","GA",44,13263,"0500000US13263",0
